<Vector (-9.1058, -17.5696, 10.1149)>,<Euler (x=1.2024, y=-0.0000, z=-0.4980), order='XYZ'>
<Vector (-14.7177, 18.7441, 3.0724)>,<Euler (x=1.5446, y=0.0000, z=-2.4659), order='XYZ'>
<Vector (-16.0522, 17.7418, 4.4795)>,<Euler (x=1.4869, y=0.0000, z=-2.3971), order='XYZ'>
<Vector (-17.0936, 16.6296, 6.0214)>,<Euler (x=1.4239, y=-0.0000, z=-2.3343), order='XYZ'>
<Vector (-17.8759, 15.4080, 7.6073)>,<Euler (x=1.3584, y=-0.0000, z=-2.2748), order='XYZ'>
<Vector (-18.4730, 14.0624, 9.1415)>,<Euler (x=1.2940, y=-0.0000, z=-2.2149), order='XYZ'>
<Vector (-18.9565, 12.5739, 10.5399)>,<Euler (x=1.2340, y=-0.0000, z=-2.1509), order='XYZ'>
<Vector (-19.3664, 10.9155, 11.7046)>,<Euler (x=1.1821, y=-0.0000, z=-2.0796), order='XYZ'>
<Vector (-19.7315, 9.0869, 12.5164)>,<Euler (x=1.1434, y=-0.0000, z=-1.9993), order='XYZ'>
<Vector (-20.0644, 7.1482, 12.8820)>,<Euler (x=1.1223, y=0.0000, z=-1.9115), order='XYZ'>
<Vector (-20.3618, 5.2005, 12.8061)>,<Euler (x=1.1201, y=-0.0000, z=-1.8210), order='XYZ'>
<Vector (-20.6125, 3.3194, 12.3885)>,<Euler (x=1.1335, y=0.0000, z=-1.7324), order='XYZ'>
<Vector (-20.8042, 1.5263, 11.7559)>,<Euler (x=1.1577, y=-0.0000, z=-1.6476), order='XYZ'>
<Vector (-20.9191, -0.1927, 11.0174)>,<Euler (x=1.1881, y=-0.0000, z=-1.5666), order='XYZ'>
<Vector (-20.9290, -1.8692, 10.2732)>,<Euler (x=1.2198, y=-0.0000, z=-1.4882), order='XYZ'>
<Vector (-20.8085, -3.5282, 9.6120)>,<Euler (x=1.2484, y=-0.0000, z=-1.4106), order='XYZ'>
<Vector (-20.5299, -5.1733, 9.1104)>,<Euler (x=1.2703, y=-0.0000, z=-1.3331), order='XYZ'>
<Vector (-20.0748, -6.7803, 8.8384)>,<Euler (x=1.2819, y=-0.0000, z=-1.2554), order='XYZ'>
<Vector (-19.4510, -8.2997, 8.8377)>,<Euler (x=1.2811, y=-0.0000, z=-1.1791), order='XYZ'>
<Vector (-18.6973, -9.6802, 9.0992)>,<Euler (x=1.2685, y=-0.0000, z=-1.1058), order='XYZ'>
<Vector (-17.8662, -10.8970, 9.5688)>,<Euler (x=1.2465, y=0.0000, z=-1.0369), order='XYZ'>
<Vector (-17.0021, -11.9560, 10.1784)>,<Euler (x=1.2185, y=-0.0000, z=-0.9726), order='XYZ'>
<Vector (-16.1334, -12.8790, 10.8695)>,<Euler (x=1.1872, y=0.0000, z=-0.9126), order='XYZ'>
<Vector (-15.2755, -13.6906, 11.5992)>,<Euler (x=1.1549, y=0.0000, z=-0.8563), order='XYZ'>
<Vector (-14.4353, -14.4121, 12.3363)>,<Euler (x=1.1230, y=-0.0000, z=-0.8031), order='XYZ'>
<Vector (-13.6150, -15.0615, 13.0565)>,<Euler (x=1.0928, y=-0.0000, z=-0.7525), order='XYZ'>
<Vector (-12.8123, -15.6542, 13.7368)>,<Euler (x=1.0650, y=0.0000, z=-0.7039), order='XYZ'>
<Vector (-12.0215, -16.2037, 14.3511)>,<Euler (x=1.0408, y=-0.0000, z=-0.6567), order='XYZ'>
<Vector (-11.2309, -16.7218, 14.8457)>,<Euler (x=1.0218, y=-0.0000, z=-0.6103), order='XYZ'>
<Vector (-10.4488, -17.2025, 15.0991)>,<Euler (x=1.0120, y=0.0000, z=-0.5650), order='XYZ'>
<Vector (-9.8091, -17.5626, 14.9028)>,<Euler (x=1.0184, y=-0.0000, z=-0.5287), order='XYZ'>
<Vector (-9.3976, -17.7612, 14.3151)>,<Euler (x=1.0391, y=-0.0000, z=-0.5061), order='XYZ'>
<Vector (-9.2035, -17.8237, 13.6028)>,<Euler (x=1.0649, y=-0.0000, z=-0.4962), order='XYZ'>
<Vector (-9.1337, -17.8123, 12.8987)>,<Euler (x=1.0911, y=-0.0000, z=-0.4934), order='XYZ'>
<Vector (-9.1086, -17.7762, 12.2612)>,<Euler (x=1.1156, y=-0.0000, z=-0.4932), order='XYZ'>
<Vector (-9.1017, -17.7324, 11.7024)>,<Euler (x=1.1375, y=-0.0000, z=-0.4939), order='XYZ'>
<Vector (-9.1016, -17.6883, 11.2246)>,<Euler (x=1.1566, y=-0.0000, z=-0.4950), order='XYZ'>
<Vector (-9.1032, -17.6484, 10.8298)>,<Euler (x=1.1727, y=-0.0000, z=-0.4960), order='XYZ'>
<Vector (-9.1047, -17.6151, 10.5197)>,<Euler (x=1.1855, y=-0.0000, z=-0.4968), order='XYZ'>
<Vector (-9.1055, -17.5902, 10.2960)>,<Euler (x=1.1948, y=-0.0000, z=-0.4975), order='XYZ'>
<Vector (-9.1058, -17.5748, 10.1605)>,<Euler (x=1.2004, y=0.0000, z=-0.4979), order='XYZ'>
